,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
196,2024,General,"Lopez, Johanna ",Lopez,Johanna ,DEM,STR,43,49544.8,67364.34,,,,,,,,,,,,,,,
129,2024,General,"Harris, Jennifer ""Rita""",Harris,"Jennifer ""Rita""",DEM,STR,44,89661.66,97643.03,,,,,,1.0,1.0,0.6500354484225452,7335.0,11284.0,,,,,
314,2024,General,"Morales, Daisy ",Morales,Daisy ,DEM,STR,44,7981.37,97643.03,,,,,,0.0,2.0,0.3499645515774548,3949.0,11284.0,,,,,
114,2024,General,"Amesty, Carolina ",Amesty,Carolina ,REP,STR,45,100411.99,193264.94,,,,,,,,,,,,,,,
128,2024,General,"Spencer, Leonard ",Spencer,Leonard ,DEM,STR,45,92852.95,193264.94,,,,,,,,,,,,,,,
338,2024,General,"De La torre, Christian ",De La torre,Christian ,REP,STR,46,4874.0,177807.13999999998,,,,,,0.0,2.0,0.4007209372183839,1334.0,3329.0,,,,,
395,2024,General,"Cruz, Michael ",Cruz,Michael ,REP,STR,46,1630.39,177807.13999999998,,,,,,1.0,1.0,0.5992790627816161,1995.0,3329.0,,,,,
394,2024,General,"Rivera, Ivan A.",Rivera,Ivan A.,NPA,STR,46,1677.88,177807.13999999998,,,,,,,,,,,,,,,
76,2024,General,"Alvarez, Jose ",Alvarez,Jose ,DEM,STR,46,137258.37,177807.13999999998,,,,,,1.0,2.0,0.3936950146627566,2685.0,6820.0,,,,,
240,2024,General,"Johnson, Robert LeWayne",Johnson,Robert LeWayne,DEM,STR,46,27372.79,177807.13999999998,,,,,,0.0,1.0,0.36603044213578156,3030.0,8278.0,,,,,
339,2024,General,"Centeno, Jacqueline ",Centeno,Jacqueline ,DEM,STR,46,4663.15,177807.13999999998,,,,,,0.0,4.0,0.18431085043988268,1257.0,6820.0,,,,,
405,2024,General,"Alvarez, Vanessa ",Alvarez,Vanessa ,DEM,STR,46,330.56,177807.13999999998,,,,,,1.0,2.0,0.3936950146627566,2685.0,6820.0,,,,,
207,2024,General,"Stark, Paula A.",Stark,Paula A.,REP,STR,47,42390.15,117697.08,,,,,,,,,,,,,,,
190,2024,General,"Revelles, Maria ",Revelles,Maria ,DEM,STR,47,52710.59,117697.08,,,,,,1.0,1.0,0.36488250652741516,2795.0,7660.0,,,,,
288,2024,General,"Nieves, Anthony ",Nieves,Anthony ,DEM,STR,47,12077.34,117697.08,,,,,,0.0,3.0,0.30913838120104437,2368.0,7660.0,,,,,
300,2024,General,"Jeng, Andrew ",Jeng,Andrew ,DEM,STR,47,10519.0,117697.08,,,,,,0.0,2.0,0.32597911227154047,2497.0,7660.0,,,,,
154,2024,General,"Carter, Jerry ",Carter,Jerry ,REP,STR,48,75250.0,282459.4,,,,,,0.0,3.0,0.24607471575527884,2727.0,11082.0,,,,,
167,2024,General,"Davis, Chad ",Davis,Chad ,REP,STR,48,64747.58,282459.4,,,,,,0.0,4.0,0.19157191842627685,2123.0,11082.0,,,,,
186,2024,General,"Albert, Jon ",Albert,Jon ,REP,STR,48,56645.92,282459.4,,,,,,1.0,2.0,0.35038801660350116,3883.0,11082.0,,,,,
223,2024,General,"Wilson, Lynn ",Wilson,Lynn ,REP,STR,48,32850.0,282459.4,,,,,,,,,,,,,,,
253,2024,General,"Owens, Deborah ""Debbie"" ",Owens,"Deborah ""Debbie"" ",REP,STR,48,22545.0,282459.4,,,,,,0.0,1.0,0.26632273811504964,4801.0,18027.0,,,,,
269,2024,General,"Stuckey, Amilee Marie",Stuckey,Amilee Marie,REP,STR,48,17214.61,282459.4,,,,,,0.0,5.0,0.09799675148890093,1086.0,11082.0,,,,,
345,2024,General,"Valentin, Benny ",Valentin,Benny ,REP,STR,48,4105.72,282459.4,,,,,,0.0,6.0,0.025175961017866812,279.0,11082.0,,,,,
305,2024,General,"Hill, John ",Hill,John ,DEM,STR,48,9100.57,282459.4,,,,,,,,,,,,,,,
26,2024,General,"Jonsson, Jennifer Kincart",Jonsson,Jennifer Kincart,REP,STR,49,278682.75,498649.57,,,,,,1.0,1.0,0.5064691862444671,5950.0,11748.0,,,,,
106,2024,General,"McDonough, Shawn Curtis",McDonough,Shawn Curtis,REP,STR,49,105433.42,498649.57,,,,,,0.0,2.0,0.23059244126659856,2709.0,11748.0,,,,,
156,2024,General,"McArthur, Heather ",McArthur,Heather ,REP,STR,49,74118.44,498649.57,,,,,,0.0,3.0,0.14904664623765748,1751.0,11748.0,,,,,
233,2024,General,"Wilkinson, Randy ",Wilkinson,Randy ,REP,STR,49,30834.51,498649.57,,,,,,0.0,4.0,0.11389172625127682,1338.0,11748.0,,,,,
323,2024,General,"Bell, Melony M.",Bell,Melony M.,REP,STR,49,6348.02,498649.57,,,,,,,,,,,,,,,
358,2024,General,"Herrmann, Ashley Elizabeth",Herrmann,Ashley Elizabeth,DEM,STR,49,3232.43,498649.57,,,,,,,,,,,,,,,
126,2024,General,"Canady, Jennifer ",Canady,Jennifer ,REP,STR,50,93764.25,112934.03,,,,,,,,,,,,,,,
260,2024,General,"Patterson-James, Bonnie ",Patterson-James,Bonnie ,DEM,STR,50,19169.78,112934.03,,,,,,,,,,,,,,,
